Id;Severity Level;Event Class;Event Class Name(1033);Event Id;Event Text(1033);Source Name;Source Id;Source Guid;Time Raised;Json Attribute
8266;"Error";"{0369E746-10F1-462E-9211-CC5D83A300FB}";"Main Control Events";1;"Error occured in READY state. Error Message: EtherCAT Master Missing Ethernet Connection";"PRG_ErrorHandling.fbEventLogging";139468800;;"22.01.2023 23:35:00.651";
8265;"Error";"{0369E746-10F1-462E-9211-CC5D83A300FB}";"Main Control Events";1;"Error occured in READY state. Error Message: Connection Timeout to XMC4";"PRG_ErrorHandling.fbEventLogging";139468800;;"22.01.2023 23:35:00.651";
8264;"Error";"{0369E746-10F1-462E-9211-CC5D83A300FB}";"Main Control Events";1;"Error occured in READY state. Error Message: Connection Timeout to XMC3";"PRG_ErrorHandling.fbEventLogging";139468800;;"22.01.2023 23:35:00.651";
8263;"Error";"{0369E746-10F1-462E-9211-CC5D83A300FB}";"Main Control Events";1;"Error occured in READY state. Error Message: Connection Timeout to XMC2";"PRG_ErrorHandling.fbEventLogging";139468800;;"22.01.2023 23:35:00.651";
8262;"Error";"{0369E746-10F1-462E-9211-CC5D83A300FB}";"Main Control Events";1;"Error occured in READY state. Error Message: Connection Timeout to XMC1";"PRG_ErrorHandling.fbEventLogging";139468800;;"22.01.2023 23:35:00.651";
8261;"Error";"{0369E746-10F1-462E-9211-CC5D83A300FB}";"Main Control Events";1;"Error occured in READY state. Error Message: Connection Timeout to Operation Control";"PRG_ErrorHandling.fbEventLogging";139468800;;"22.01.2023 23:35:00.651";
8260;"Warning";"{0369E746-10F1-462E-9211-CC5D83A300FB}";"Main Control Events";2;"Warning Message: DistanceSensor out of Range						";"PRG_ErrorHandling.fbEventLogging";139468800;;"22.01.2023 23:34:55.651";
8259;"Info";"{0369E746-10F1-462E-9211-CC5D83A300FB}";"Main Control Events";4;"MainController STM changed to READY state";"PRG_ErrorHandling.fbEventLogging";139468800;;"22.01.2023 23:34:55.651";
8258;"Info";"{0369E746-10F1-462E-9211-CC5D83A300FB}";"Main Control Events";4;"MainController STM changed to ERROR state";"PRG_ErrorHandling.fbEventLogging";139468800;;"22.01.2023 20:46:36.812";
8257;"Error";"{0369E746-10F1-462E-9211-CC5D83A300FB}";"Main Control Events";1;"Error occured in STARTUP state. Error Message: EtherCAT Master Missing Ethernet Connection";"PRG_ErrorHandling.fbEventLogging";139468800;;"22.01.2023 20:46:31.812";
8256;"Error";"{0369E746-10F1-462E-9211-CC5D83A300FB}";"Main Control Events";1;"Error occured in STARTUP state. Error Message: Connection Timeout to Operation Control";"PRG_ErrorHandling.fbEventLogging";139468800;;"22.01.2023 20:46:31.812";
8255;"Warning";"{0369E746-10F1-462E-9211-CC5D83A300FB}";"Main Control Events";2;"Warning Message: DistanceSensor out of Range						";"PRG_ErrorHandling.fbEventLogging";139468800;;"22.01.2023 20:46:26.811";
8254;"Info";"{0369E746-10F1-462E-9211-CC5D83A300FB}";"Main Control Events";7;"Levitation System disabled";"PRG_ErrorHandling.fbEventLogging";139468800;;"22.01.2023 20:46:26.811";
8253;"Info";"{0369E746-10F1-462E-9211-CC5D83A300FB}";"Main Control Events";7;"All Errors Acknowledged and Cleared by Operation Control";"PRG_ErrorHandling.fbEventLogging";139468800;;"22.01.2023 20:46:26.811";
8252;"Info";"{0369E746-10F1-462E-9211-CC5D83A300FB}";"Main Control Events";4;"MainController STM changed to STARTUP state";"PRG_ErrorHandling.fbEventLogging";139468800;;"22.01.2023 20:46:26.811";
